salesID,lastSalePrice,lastSaleDate
186,215000.0,2018-02-22T00:00:00.000Z
187,220000.0,2018-09-26T00:00:00.000Z
188,0.0,2020-11-30T00:00:00.000Z
189,53800.0,1984-08-31T00:00:00.000Z
190,0.0,2019-10-30T00:00:00.000Z
191,255000.0,2020-07-01T00:00:00.000Z
192,1221500.0,2020-06-25T00:00:00.000Z
193,0.0,2017-07-26T00:00:00.000Z
194,25000.0,1989-01-25T00:00:00.000Z
195,85000.0,2021-01-07T00:00:00.000Z
196,0.0,2017-08-25T00:00:00.000Z
197,0.0,2022-09-02T00:00:00.000Z
198,140000.0,2010-12-29T00:00:00.000Z
199,115000.0,2021-12-16T00:00:00.000Z
200,0.0,2010-10-25T00:00:00.000Z
201,365000.0,1999-11-10T00:00:00.000Z
202,190000.0,2019-02-28T00:00:00.000Z
203,27000.0,2020-09-30T00:00:00.000Z
204,827300.0,2023-08-23T00:00:00.000Z
205,134500.0,2004-04-01T00:00:00.000Z
206,285002.0,2020-06-11T00:00:00.000Z
207,136500.0,1990-08-15T00:00:00.000Z
208,225000.0,2021-12-23T00:00:00.000Z
209,300505.0,2018-05-15T00:00:00.000Z
210,0.0,2022-05-16T00:00:00.000Z
211,181400.0,2013-05-09T00:00:00.000Z
212,0.0,2020-01-24T00:00:00.000Z
213,108000.0,2015-06-24T00:00:00.000Z
214,300000.0,2018-02-12T00:00:00.000Z
215,123600.0,2015-06-05T00:00:00.000Z
216,200000.0,2018-06-20T00:00:00.000Z
217,260000.0,2015-03-25T00:00:00.000Z
218,100000.0,2018-06-22T00:00:00.000Z
219,0.0,2009-03-01T00:00:00.000Z
220,340000.0,2020-09-17T00:00:00.000Z
221,1112000.0,2024-05-03T00:00:00.000Z
222,78500.0,1987-06-23T00:00:00.000Z
223,656000.0,2019-09-27T00:00:00.000Z
224,280407.0,2021-09-20T00:00:00.000Z
225,222000.0,2017-06-23T00:00:00.000Z
226,644900.0,2016-06-24T00:00:00.000Z
227,0.0,2018-10-12T00:00:00.000Z
228,244000.0,2022-07-01T00:00:00.000Z
229,564500.0,2007-03-02T00:00:00.000Z
230,0.0,2003-02-26T00:00:00.000Z
231,235000.0,2020-01-13T00:00:00.000Z
232,32000.0,1998-11-25T00:00:00.000Z
233,408510.0,2014-09-29T00:00:00.000Z
234,221900.0,2016-06-03T00:00:00.000Z
235,379900.0,2016-06-03T00:00:00.000Z
236,245000.0,2023-10-12T00:00:00.000Z
237,700000.0,2024-11-27T00:00:00.000Z
238,339500.0,1990-05-10T00:00:00.000Z
239,175000.0,2023-01-10T00:00:00.000Z
240,127000.0,2002-02-05T00:00:00.000Z
241,300000.0,2022-07-19T00:00:00.000Z
242,151000.0,2020-03-04T00:00:00.000Z
243,295000.0,2017-10-31T00:00:00.000Z
244,329000.0,2017-02-27T00:00:00.000Z
245,55000.0,2021-02-08T00:00:00.000Z
246,120000.0,2013-03-29T00:00:00.000Z
247,195000.0,2018-08-08T00:00:00.000Z
248,0.0,2020-07-29T00:00:00.000Z
249,180000.0,2019-05-08T00:00:00.000Z
250,0.0,2024-02-09T00:00:00.000Z
251,353000.0,2004-03-03T00:00:00.000Z
252,4000.0,2009-04-08T00:00:00.000Z
253,0.0,2020-10-13T00:00:00.000Z
254,1580000.0,2017-08-29T00:00:00.000Z
255,140000.0,2025-04-15T00:00:00.000Z
256,400000.0,2019-10-22T00:00:00.000Z
257,0.0,2017-04-26T00:00:00.000Z
258,295000.0,2021-03-29T00:00:00.000Z
259,54500.0,2017-03-28T00:00:00.000Z
260,9943208.0,2019-07-01T00:00:00.000Z
261,1125000.0,1998-12-10T00:00:00.000Z
262,0.0,2021-09-24T00:00:00.000Z
263,616500.0,2005-09-21T00:00:00.000Z
264,280500.0,2013-06-27T00:00:00.000Z
265,395000.0,2023-02-23T00:00:00.000Z
266,1400000.0,2024-09-13T00:00:00.000Z
